ger,German
gmh,Middle High German
goh,Old High German
eng,English
fre,French
fra,French
fro,Old French
qmo,Moldovan
qmw,Mordivian
qqa,Khakasian
abk,Abkhazian
ace,Achinese
ach,Acoli
afa,Afro-Asiatic languages
afr,Afrikaans
alb,Albanian
sqi,Albanian
alt,Southern Altai
ang,Old English
ara,Arabic
arm,Armenian
hye,Armenian
aus,Australian languages
aze,Azerbaijani
bad,Banda languages
ban,Balinese
bat,Baltic languages
bel,Belarusian
ben,Bengali
bnt,Bantu languages
tib,Tibetan
bod,Tibetan
bos,Bosnian
brt,Breton
bul,Bulgarian
bur,Burmese
mya,Burmese
cat,Catalan
car,Galibi Carib
cau,Caucasian languages
che,Chechen
cze,Czech
ces,Czech
chi,Chinese
zho,Chinese
cop,Coptic
cos,Corsican
cnr,Montenegrin
dan,Danish
deu,German
div,Maldivian
dsb,Lower Sorbian
dum,Dutch
dut,Dutch
nld,Dutch
est,Estonian
epo,Esperanto
baq,Basque
eus,Basque
fij,Fijian
fil,Filipino
fin,Finnish
geo,Georgian
kat,Georgian
gle,Irish
got,Gothic
gre,Greek
grc,Ancient Greek
gsw,Swiss German
ell,Greek
haw,Hawaiian
heb,Hebrew
hin,Hindi
hrv,Croatian
hun,Hungarian
ice,Icelandic
isl,Icelandic
ira,Iranian languages
ita,Italian
jav,Javanese
jpn,Japanese
jpr,Judeo-Persian
jrb,Judeo-Arabic
kal,Greenlandic
kan,Kannada
kaz,Kazakh
khm,Central Khmer
kin,Kinyarwanda
kir,Kirghiz
kor,Korean
kur,Kurdish
lao,Lao
lat,Latin
lav,Latvian
lit,Lithuanian
mac,Macedonian
mkd,Macedonian
mao,Maori
mri,Maori
mon,Mongolian
nds,Low German
nor,Norwegian
ota,Ottoman Turkish
oto,Ottoman languages
pal,Pahlavi
pau,Palauan
peo,Old Persian
per,Persian
fas,Persian
phi,Philippine languages
pol,Polish
rum,Romanian
ron,Romanian
rus,Russian
san,Sanskrit
sco,Scots
sem,Semitic languages
slo,Slovak
slk,Slovak
som,Somali
spa,Spanish
srp,Serbian
swe,Swedish
tha,Thai
tib,Tibetan
bod,Tibetan
tlh,Klingon
tur,Turkish
uig,Uighur
ukr,Ukrainian
uzb,Uzbek
vie,Vietnamese
wen,Sorbian languages
wln,Walloon
yid,Yiddish
